21. Internationales Management-Gespräch-Wilfried Guth-HSGN 028-00884.jpg	Regina Kühne  | Wikimedia Commons | CC BY-SA 4.0
22 08 26 Friedhelm Boginski RRK2610.jpg	Ralf Roletschek | Wikimedia Commons | CC BY-SA 1.0 fi
22DJL KesslerStepBer 03268 V1 copy.jpg	Dario-Jacopo Laganà | Wikimedia Commons | CC BY-SA 4.0
22-06-26 Spielzeugmuseum Nürnberg.jpg	Achim Raschka | Wikimedia Commons | CC BY-SA 4.0
23 Adolf J. Merkl (Nr. 23) Basrelief in the Arkadenhof, University of Vienna 1333.jpg	Hubertl  | Wikimedia Commons | CC BY-SA 4.0
23Haus Nottbeck 2.JPG	Varus111 | Wikimedia Commons | Public domain
25 Jahre Denkmalstiftung Baden-Württemberg.gif	Denkmalstiftung Baden-Württemberg | Wikimedia Commons | Public domain
25 Years of World Jewish Congress - Anniversary Conference in Geneva, Switzerland.jpg	WorldJewishCongress | Wikimedia Commons | CC BY-SA 3.0
25th Music Biennale Zagreb.jpg	Tomislavmedak | Wikimedia Commons | CC BY 2.0
25º Prêmio da Música Brasileira (14004990988).jpg	25º Prêmio da Música Brasileira | Wikimedia Commons | CC BY 2.0
26. Tagung 1976 Physiker; Eröffnung- W. Fucks - LABW - Staatsarchiv Freiburg W 134 Nr. 106818b.jpeg	Willy Pragher | Wikimedia Commons | CC BY 4.0
27 rue Jacob, Paris 6e.jpg	Celette | Wikimedia Commons | CC BY-SA 4.0
27.05.1969. Don Clément Jacob. M. Maritain chez Privat. (1969) - 53Fi3465 (cropped).jpg	André Cros | Wikimedia Commons | CC BY-SA 4.0
30 Jahre Bündnis 90 Die Grünen (53004927731).jpg	Heinrich-Böll-Stiftung from Berlin, Deutschland | Wikimedia Commons | CC BY-SA 2.0
30 Jahre Unter uns-7759.jpg	Raimond Spekking | Wikimedia Commons | CC BY-SA 4.0
30. Frank Ramsey.jpg	Volsav | Wikimedia Commons | CC BY-SA 4.0
30er Jahre.JPG	Kurt Philippi | Wikimedia Commons | CC BY-SA 3.0
